Title,Title_URL,,,,,,,,,,,,,
"Seated Fitness for Health: 21 days to a Healthier You!
A beginner friendly seated <strong>fitness</strong> course to help you start, or to ease you back into your <strong>fitness</strong> journeyRating: 5.0 out of 51 review11 total hours45 lecturesBeginnerCurrent price: ₹499Original price: ₹799",https://www.udemy.com/course/seated-fitness-for-health-21-days-to-a-healthier-you/,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Project Management Office (PMO) for Management Consultants
A practical guide on how to build and run <strong>PMO</strong> on the level of top consulting firm McKinsey, BCG, Bain, PwCRating: 4.2 out of 51796 reviews3.5 total hours75 lecturesIntermediateCurrent price: ₹549Original price: ₹2,899",https://www.udemy.com/course/project-management-office-pmo-for-management-consultants/,,,,,,,,,,,,,
"The PMO Bootcamp (find the job, ace it, & master the PMO)
Learn how to become a Project Management Office (<strong>PMO</strong>) leader & successfully setup the <strong>PMO</strong> - first-time right (20+ PDUs)Rating: 4.5 out of 5877 reviews23.5 total hours26 lecturesAll LevelsCurrent price: ₹499Original price: ₹3,099",https://www.udemy.com/course/the-pmo-bootcamp-find-the-job-ace-it-master-the-pmo/,,,,,,,,,,,,,
"Build your Project Management Office (PMO) Step by Step
Practical Guide to Build your <strong>PMO</strong> with a Use CaseRating: 4.6 out of 595 reviews3 total hours31 lecturesAll LevelsCurrent price: ₹499Original price: ₹799",https://www.udemy.com/course/build-your-pmo-step-by-step/,,,,,,,,,,,,,
"PMO Masterclass: Project Management Office By the Experts.
<strong>PMO</strong> Setup Complete Blueprint | <strong>PMO</strong> Selection| <strong>PMO</strong> Types| Project Management Office Case Studies and Practical Examples|Rating: 4.6 out of 554 reviews2.5 total hours35 lecturesAll LevelsCurrent price: ₹499Original price: ₹799",https://www.udemy.com/course/pmo-project-management-by-experts/,,,,,,,,,,,,,
"Project Management Office PMO: From Basics to Brilliance
A Comprehensive Dive into Project Management Office (<strong>PMO</strong>) Realm. Establish, Operate, Integrate (EOI).Rating: 3.8 out of 536 reviews7.5 total hours134 lecturesAll LevelsCurrent price: ₹549Original price: ₹2,699",https://www.udemy.com/course/pmaas-pmo-mastery/,,,,,,,,,,,,,
"Project Management Office (PMO) Setup Guide
<strong>PMO</strong> Step-by-Step Implementation PlanRating: 4.4 out of 51201 reviews1 total hour10 lecturesIntermediateCurrent price: ₹499Original price: ₹1,499",https://www.udemy.com/course/pmo-project-management-office/,,,,,,,,,,,,,
"Pass PMI PMO-CP MOCK EXAMS within 30 days - 2024
4 Full <strong>PMO</strong>-CP Mock exam - Based on Value Ring Methadaology - 2024Rating: 4.1 out of 536 reviews160 questionsAll LevelsCurrent price: ₹499Original price: ₹1,799",https://www.udemy.com/course/pass-pmo-cp-mock-exams-within-30-days-2024-l/,,,,,,,,,,,,,
"PMP Certification: 35+ PDU Formal PMP Exam Prep_New PMP 2024
PMPⓇ Certification: 42 PDU PMP Exam Complete Training / Get the PMP Project Management Certification on the first try!Rating: 4.6 out of 511880 reviews43 total hours366 lecturesAll LevelsCurrent price: ₹599Original price: ₹3,999",https://www.udemy.com/course/project-management-skills-math-concepts-you-should-know/,,,,,,,,,,,,,
"PMO-CP Real Practice Exams.
<strong>PMO</strong>-CP Project Management Office Certified Practitioner real practice exams that contain all the ideas of the final examRating: 4.8 out of 535 reviews82 questionsAll LevelsCurrent price: ₹1,999",https://www.udemy.com/course/pmo-cp-real-practice-exams/,,,,,,,,,,,,,
"Transform Your PMO to an Agile Organization
Mastering Agile Transformation for Project Management Office: A Roadmap to Delivering with Excellence and AdaptabilityRating: 4.4 out of 5146 reviews6 total hours16 lecturesAll LevelsCurrent price: ₹499Original price: ₹2,499",https://www.udemy.com/course/agile-pmo-transformation-to-an-agility/,,,,,,,,,,,,,
"P3O Protfolio, Programme and Project Office
P3O Protfolio, Programme and Project OfficeRating: 4.5 out of 544 reviews1.5 total hours6 lecturesAll LevelsCurrent price: ₹499Original price: ₹1,799",https://www.udemy.com/course/p3o-protfolio-programme-and-project-office/,,,,,,,,,,,,,
"Strategy Execution: Investments, Project Management & PMO
Decomposing Business Strategy into Investment Portfolio, Programs and Projects; Role of Project Management Office (<strong>PMO</strong>)Rating: 4.8 out of 56 reviews4.5 total hours58 lecturesAll LevelsCurrent price: ₹499Original price: ₹799",https://www.udemy.com/course/strategy-execution-investments-project-management-pmo/,,,,,,,,,,,,,
"Monday - Project Management - The Complete Beginners Course
Learn Monday quickly. Become a better team and project manager. Add another project management skill to your CVRating: 4.5 out of 52820 reviews4 total hours51 lecturesBeginnerCurrent price: ₹549Original price: ₹3,499",https://www.udemy.com/course/monday-project-management-software/,,,,,,,,,,,,,
"Gestion de projet: Chef de projet opérationnel
Apprenez à piloter un projet: démarrer, diriger, et animer l'équipeRating: 4.6 out of 532 reviews4 total hours60 lecturesAll LevelsCurrent price: ₹499Original price: ₹1,799",https://www.udemy.com/course/chef-de-projet-operationnel/,,,,,,,,,,,,,
"PMO-CP simulation exams
Pass the project management office certified practitioner (<strong>PMO</strong>-CP) from the first attemptRating: 4.3 out of 529 reviews140 questionsAll LevelsCurrent price: ₹499Original price: ₹1,499",https://www.udemy.com/course/pmo-cp-simulation-exams-e/,,,,,,,,,,,,,
"PMI PMO-CP practice Questions, Answers and Explanation
Practice questions similar to the real <strong>PMO</strong>-CP exam and pass your <strong>PMO</strong>-CP exam easily. Questions are updated every month.Rating: 4.6 out of 519 reviews197 questionsAll LevelsCurrent price: ₹1,999",https://www.udemy.com/course/pmi-pmo-cp-practice-questions-answers-and-explanation/,,,,,,,,,,,,,
"PMP Exam Preparation - URDU / HINDI Language
Get your PMP Certification in 1st goRating: 4.5 out of 518 reviews24 total hours355 lecturesAll LevelsCurrent price: ₹499Original price: ₹1,999",https://www.udemy.com/course/pmp-exam-preparation-urdu-hindi-language/,,,,,,,,,,,,,
"PMI ""PMO-CP"" Practice Exams 2024 Updates
<strong>PMO</strong>-CP Exams with 2024 UpdatesRating: 4.9 out of 521 reviews97 questionsAll LevelsCurrent price: ₹2,499",https://www.udemy.com/course/pmipmocp/,,,,,,,,,,,,,
"PMO-CP™ Exam Simulation questions with explanation
The <strong>PMO</strong> Certified Practitioner (<strong>PMO</strong>-CP) Exam is the official PMI offering for candidates persuading their certificatesRating: 4.7 out of 594 reviews160 questionsBeginnerCurrent price: ₹499Original price: ₹3,499",https://www.udemy.com/course/abdelsatarpmocp/,,,,,,,,,,,,,
"PMO Certified Practitioner (PMO-CP)™ Real Exam
(<strong>PMO</strong>-CP)™ Simulation Exams 100% PassRating: 5.0 out of 51 review80 questionsAll LevelsCurrent price: ₹499Original price: ₹1,799",https://www.udemy.com/course/pmo-certified-practitioner-pmo-cptm-real-exam/,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Business Analysis ""A to Z"" Masterclass
We don't teach. We job Train!Rating: 4.5 out of 57095 reviews31 total hours25 lecturesAll LevelsCurrent price: ₹499Original price: ₹3,099",https://www.udemy.com/course/business-analysis-masterclass/,,,,,,,,,,,,,
"Business Analysis Fundamentals - ECBA, CCBA, CBAP endorsed
Set yourself up for success and learn the key <strong>business</strong> analysis concepts to thrive in your <strong>Business</strong> <strong>Analyst</strong> career!Rating: 4.5 out of 560822 reviews7.5 total hours66 lecturesBeginnerCurrent price: ₹549Original price: ₹3,499",https://www.udemy.com/course/business-analysis-ba/,,,,,,,,,,,,,
"The Business Intelligence Analyst Course 2024
The skills you need to become a BI <strong>Analyst</strong> - Statistics, Database theory, SQL, Tableau – Everything is includedRating: 4.6 out of 546353 reviews22.5 total hours460 lecturesAll LevelsCurrent price: ₹599Original price: ₹3,999",https://www.udemy.com/course/the-business-intelligence-analyst-course-2018/,,,,,,,,,,,,,
"Business Analyst Bootcamp: Excel, Stats, SQL, Tableau
30+ Data Analysis, <strong>Business</strong> Intelligence, and Decision Making Exercises for Agile <strong>Business</strong> AnalyticsRating: 4.4 out of 5515 reviews23.5 total hours95 lecturesAll LevelsCurrent price: ₹549Original price: ₹2,799",https://www.udemy.com/course/technical-business-analytics-for-agile-decision-making/,,,,,,,,,,,,,
